"filename", "language", "Markdown", "JavaScript", "JSON", "TypeScript", "MS SQL", "JSON with Comments", "XML", "PostCSS", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\ashis\quizzy\README.md", "Markdown", 465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465
"c:\Users\ashis\quizzy\quiz-app\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 11, 154
"c:\Users\ashis\quizzy\quiz-app\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 12, 197
"c:\Users\ashis\quizzy\quiz-app\app\api\cookie\route.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 12, 157
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 426, 0, 1, 34, 461
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 14, 233
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\quizzes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 10, 118
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\results\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 471, 0, 2, 27, 500
"c:\Users\ashis\quizzy\quiz-app\app\dashboard\results\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 8, 99
"c:\Users\ashis\quizzy\quiz-app\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 2, 31, 140
"c:\Users\ashis\quizzy\quiz-app\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 1, 4, 42
"c:\Users\ashis\quizzy\quiz-app\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 10, 96
"c:\Users\ashis\quizzy\quiz-app\app\results\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 244, 0, 8, 19, 271
"c:\Users\ashis\quizzy\quiz-app\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\ashis\quizzy\quiz-app\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\ashis\quizzy\quiz-app\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 2, 8, 151
"c:\Users\ashis\quizzy\quiz-app\components\Landing\CTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
"c:\Users\ashis\quizzy\quiz-app\components\Landing\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 8, 6, 120
"c:\Users\ashis\quizzy\quiz-app\components\Landing\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 7, 80
"c:\Users\ashis\quizzy\quiz-app\components\Landing\HowitWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 1, 6, 137
"c:\Users\ashis\quizzy\quiz-app\components\Landing\Info.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\ashis\quizzy\quiz-app\components\Landing\LandingNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 1, 5, 98
"c:\Users\ashis\quizzy\quiz-app\components\Landing\SafariDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ashis\quizzy\quiz-app\components\Landing\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 1, 8, 116
"c:\Users\ashis\quizzy\quiz-app\components\Modetoggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"c:\Users\ashis\quizzy\quiz-app\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"c:\Users\ashis\quizzy\quiz-app\components\PollingWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\quizzy\quiz-app\components\RainbowButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\ashis\quizzy\quiz-app\components\dashboard\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\ashis\quizzy\quiz-app\components\dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 4, 10, 163
"c:\Users\ashis\quizzy\quiz-app\components\magicui\marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 22, 3, 74
"c:\Users\ashis\quizzy\quiz-app\components\magicui\rainbow-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 3, 4, 32
"c:\Users\ashis\quizzy\quiz-app\components\magicui\safari.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 4, 185
"c:\Users\ashis\quizzy\quiz-app\components\profile\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\quizzy\quiz-app\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18, 7, 34
"c:\Users\ashis\quizzy\quiz-app\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 9, 59
"c:\Users\ashis\quizzy\quiz-app\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 15, 142
"c:\Users\ashis\quizzy\quiz-app\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"c:\Users\ashis\quizzy\quiz-app\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\ashis\quizzy\quiz-app\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"c:\Users\ashis\quizzy\quiz-app\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"c:\Users\ashis\quizzy\quiz-app\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 11, 116
"c:\Users\ashis\quizzy\quiz-app\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"c:\Users\ashis\quizzy\quiz-app\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 11, 214
"c:\Users\ashis\quizzy\quiz-app\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"c:\Users\ashis\quizzy\quiz-app\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 31, 263
"c:\Users\ashis\quizzy\quiz-app\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 327, 0, 2, 37, 366
"c:\Users\ashis\quizzy\quiz-app\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\ashis\quizzy\quiz-app\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\ashis\quizzy\quiz-app\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 18, 154
"c:\Users\ashis\quizzy\quiz-app\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 19, 201
"c:\Users\ashis\quizzy\quiz-app\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 14, 123
"c:\Users\ashis\quizzy\quiz-app\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 14, 119
"c:\Users\ashis\quizzy\quiz-app\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 19, 201
"c:\Users\ashis\quizzy\quiz-app\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 26, 179
"c:\Users\ashis\quizzy\quiz-app\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\ashis\quizzy\quiz-app\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
"c:\Users\ashis\quizzy\quiz-app\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\ashis\quizzy\quiz-app\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\ashis\quizzy\quiz-app\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 20, 237
"c:\Users\ashis\quizzy\quiz-app\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 12, 129
"c:\Users\ashis\quizzy\quiz-app\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 118
