Date : 2025-08-26 16:23:23
Directory : c:\Users\ashis\quizzy
Total : 184 files,  20958 codes, 512 comments, 3252 blanks, all 24722 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        102 |      9,023 |        213 |        955 |     10,191 |
| YAML               |          2 |      7,779 |          0 |      1,884 |      9,663 |
| JSON               |          9 |      1,738 |          0 |          3 |      1,741 |
| TypeScript         |         47 |      1,481 |        182 |        299 |      1,962 |
| Markdown           |          1 |        331 |          0 |          0 |        331 |
| PostCSS            |          4 |        263 |          4 |         50 |        317 |
| JavaScript         |         10 |        212 |        106 |         59 |        377 |
| MS SQL             |          4 |         69 |          7 |          0 |         76 |
| JSON with Comments |          2 |         57 |          0 |          1 |         58 |
| XML                |          3 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        184 |     20,958 |        512 |      3,252 |     24,722 |
| . (Files)                                                                  |          1 |        331 |          0 |          0 |        331 |
| quiz-app                                                                   |        126 |     14,069 |        252 |      2,036 |     16,357 |
| quiz-app (Files)                                                           |          8 |      4,306 |         29 |        930 |      5,265 |
| quiz-app\app                                                               |         21 |      2,320 |         29 |        239 |      2,588 |
| quiz-app\app (Files)                                                       |          3 |        238 |          6 |         44 |        288 |
| quiz-app\app\(auth)                                                        |          2 |        378 |          2 |         29 |        409 |
| quiz-app\app\(auth)\login                                                  |          1 |        192 |          2 |         17 |        211 |
| quiz-app\app\(auth)\register                                               |          1 |        186 |          0 |         12 |        198 |
| quiz-app\app\api                                                           |          1 |         17 |          0 |          6 |         23 |
| quiz-app\app\api\cookie                                                    |          1 |         17 |          0 |          6 |         23 |
| quiz-app\app\dashboard                                                     |          9 |      1,492 |          7 |        126 |      1,625 |
| quiz-app\app\dashboard (Files)                                             |          2 |        168 |          0 |         18 |        186 |
| quiz-app\app\dashboard\notifications                                       |          1 |         27 |          0 |          1 |         28 |
| quiz-app\app\dashboard\profile                                             |          1 |         39 |          1 |          3 |         43 |
| quiz-app\app\dashboard\quizzes                                             |          3 |        709 |          5 |         58 |        772 |
| quiz-app\app\dashboard\quizzes (Files)                                     |          1 |         99 |          0 |         10 |        109 |
| quiz-app\app\dashboard\quizzes\[id]                                        |          1 |        376 |          1 |         31 |        408 |
| quiz-app\app\dashboard\quizzes\create                                      |          1 |        234 |          4 |         17 |        255 |
| quiz-app\app\dashboard\results                                             |          2 |        549 |          1 |         46 |        596 |
| quiz-app\app\dashboard\results (Files)                                     |          1 |         87 |          0 |          6 |         93 |
| quiz-app\app\dashboard\results\[id]                                        |          1 |        462 |          1 |         40 |        503 |
| quiz-app\app\notion                                                        |          1 |         38 |          0 |          5 |         43 |
| quiz-app\app\notion-auth                                                   |          1 |         79 |          0 |         14 |         93 |
| quiz-app\app\notion\login                                                  |          1 |         38 |          0 |          5 |         43 |
| quiz-app\app\post-login                                                    |          1 |         39 |          0 |          5 |         44 |
| quiz-app\app\sign-in                                                       |          1 |         11 |          0 |          2 |         13 |
